Person 1 URI	Person 1 Entry	Relationship	Person 2 URI	Person 2 Entry	Person 1 Name	Person 2 Name											
https://usaybia.net/person/941	Ibn Bābashādh, Abū Sulaymān	addressee of	https://usaybia.net/person/1093	Abū al-Ḥasan ʿAlī b. Riḍwān 	Ibn Bābashādh, Abū Sulaymān	Abū al-Ḥasan ʿAlī b. Riḍwān 											
https://usaybia.net/person/1215	Ifrāʾīm ibn al-Zaffān	student of	https://usaybia.net/person/1093	Abū al-Ḥasan ʿAlī b. Riḍwān 	Ifrāʾīm ibn al-Zaffān	Abū al-Ḥasan ʿAlī b. Riḍwān 											
https://usaybia.net/person/1093	Abū al-Ḥasan ʿAlī b. Riḍwān	physician at	https://usaybia.net/person/1688	al-Mustanṣir (Abū Tamīm Maʿadd al-Mustanṣir bi-Allāh)	Abū al-Ḥasan ʿAlī b. Riḍwān 	al-Mustanṣir (Abū Tamīm Maʿadd al-Mustanṣir bi-Allāh)											
https://usaybia.net/person/961	Ibn Buṭlān, al-Mukhtār ibn al-Ḥasan ibn ʿAbdūn	contemporary of	https://usaybia.net/person/1093	Abū al-Ḥasan ʿAlī b. Riḍwān 	Ibn Buṭlān, al-Mukhtār ibn al-Ḥasan ibn ʿAbdūn	Abū al-Ḥasan ʿAlī b. Riḍwān											
https://usaybia.net/person/1688	al-Mustanṣir (Abū Tamīm Maʿadd al-Mustanṣir bi-Allāh)	Caliph	https://usaybia.net/person/1093	Abū al-Ḥasan ʿAlī b. Riḍwān 	al-Mustanṣir (Abū Tamīm Maʿadd al-Mustanṣir bi-Allāh)	Abū al-Ḥasan ʿAlī b. Riḍwān 											
https://usaybia.net/person/992	Ibn Ḥamdān, Naṣīr al-Dawlah Abū ʿAlī l-Ḥusayn ibn Abī ʿAlī al-Ḥasan ibn Ḥamdān	Commander under	https://usaybia.net/person/1688	al-Mustanṣir (Abū Tamīm Maʿadd al-Mustanṣir bi-Allāh)	Ibn Ḥamdān, Naṣīr al-Dawlah Abū ʿAlī l-Ḥusayn ibn Abī ʿAlī al-Ḥasan ibn Ḥamdān	al-Mustanṣir (Abū Tamīm Maʿadd al-Mustanṣir bi-Allāh)											
https://usaybia.net/person/161	Abū l-Faraj ʿAbd Allāh ibn al-Ṭayyib	companion of	https://usaybia.net/person/961	Ibn Buṭlān, al-Mukhtār ibn al-Ḥasan ibn ʿAbdūn	Abū l-Faraj ʿAbd Allāh ibn al-Ṭayyib	Ibn Buṭlān, al-Mukhtār ibn al-Ḥasan ibn ʿAbdūn											
https://usaybia.net/person/211	Abū l-Ḥasan Thābit ibn Ibrāhīm ibn Zahrūn al-Ḥarrānī	companion of	https://usaybia.net/person/961	Ibn Buṭlān, al-Mukhtār ibn al-Ḥasan ibn ʿAbdūn	Abū l-Ḥasan Thābit ibn Ibrāhīm ibn Zahrūn al-Ḥarrānī	Ibn Buṭlān, al-Mukhtār ibn al-Ḥasan ibn ʿAbdūn											
https://usaybia.net/person/1655	Muʿizz al-Dawlah Thimāl ibn Ṣāliḥ	acquaintance of	https://usaybia.net/person/961	Ibn Buṭlān, al-Mukhtār ibn al-Ḥasan ibn ʿAbdūn	Muʿizz al-Dawlah Thimāl ibn Ṣāliḥ	Ibn Buṭlān, al-Mukhtār ibn al-Ḥasan ibn ʿAbdūn											
https://usaybia.net/person/1747	Naṣīr al-Dawlah	acquaintance of	https://usaybia.net/person/961	Ibn Buṭlān, al-Mukhtār ibn al-Ḥasan ibn ʿAbdūn	Naṣīr al-Dawlah	Ibn Buṭlān, al-Mukhtār ibn al-Ḥasan ibn ʿAbdūn											
https://usaybia.net/person/1125	Ibn Sīnā, Abū ʿAlī al-Ḥusayn ibn ʿAbd Allāh al-Shaykh al-Raʾīs 	acquaintance of	https://usaybia.net/person/161	Abū l-Faraj ʿAbd Allāh ibn al-Ṭayyib	Ibn Sīnā, Abū ʿAlī al-Ḥusayn ibn ʿAbd Allāh al-Shaykh al-Raʾīs 	Abū l-Faraj ʿAbd Allāh ibn al-Ṭayyib											
https://usaybia.net/person/1028	Ibn al-Khammār, Abū l-Khayr al-Ḥasan ibn Suwār ibn Bābā ibn Bihrām 	teacher of	https://usaybia.net/person/161	Abū l-Faraj ʿAbd Allāh ibn al-Ṭayyib	Ibn al-Khammār, Abū l-Khayr al-Ḥasan ibn Suwār ibn Bābā ibn Bihrām 	Abū l-Faraj ʿAbd Allāh ibn al-Ṭayyib											
https://usaybia.net/person/158	Abū l-Faḍl Kutayfāt	student of	https://usaybia.net/person/161	Abū l-Faraj ʿAbd Allāh ibn al-Ṭayyib	Abū l-Faḍl Kutayfāt	Abū l-Faraj ʿAbd Allāh ibn al-Ṭayyib											
https://usaybia.net/person/1581001	Practise of Astrology		https://usaybia.net/person/1093	Abū al-Ḥasan ʿAlī b. Riḍwān 	Practise of Astrology	Abū al-Ḥasan ʿAlī b. Riḍwān 											
https://usaybia.net/person/1028	Ibn al-Khammār, Abū l-Khayr al-Ḥasan ibn Suwār ibn Bābā ibn Bihrām 	Cited positively by	https://usaybia.net/person/1093	Abū al-Ḥasan ʿAlī b. Riḍwān 	Ibn al-Khammār, Abū l-Khayr al-Ḥasan ibn Suwār ibn Bābā ibn Bihrām 	Abū al-Ḥasan ʿAlī b. Riḍwān 											
https://usaybia.net/person/1262	Isḥāq ibn Ibrāhīm ibn Nasṭās (Abū Yaʿqūb Isḥāq ibn Ibrāhīm ibn Nasṭās ibn Jurayj)	Physician at	https://usaybia.net/person/815	al-Ḥākim, sixth Fatimid caliph (`reg.` 385– 411/996–1021)	Isḥāq ibn Ibrāhīm ibn Nasṭās (Abū Yaʿqūb Isḥāq ibn Ibrāhīm ibn Nasṭās ibn Jurayj)	al-Ḥākim, sixth Fatimid caliph (`reg.` 385– 411/996–1021)											
https://usaybia.net/person/1093	Abū al-Ḥasan ʿAlī b. Riḍwān 	Physician at	https://usaybia.net/person/815	al-Ḥākim, sixth Fatimid caliph (`reg.` 385– 411/996–1021)	Abū al-Ḥasan ʿAlī b. Riḍwān 	al-Ḥākim, sixth Fatimid caliph (`reg.` 385– 411/996–1021)											
https://usaybia.net/person/822	al-Ḥaqīr al-Nāfiʿ	Physician at	https://usaybia.net/person/815	al-Ḥākim, sixth Fatimid caliph (`reg.` 385– 411/996–1021)	al-Ḥaqīr al-Nāfiʿ	al-Ḥākim, sixth Fatimid caliph (`reg.` 385– 411/996–1021)											
https://usaybia.net/person/143	Abū Bishr, `ṭabīb al-ʿaẓīmiyyah	Physician at	https://usaybia.net/person/815	al-Ḥākim, sixth Fatimid caliph (`reg.` 385– 411/996–1021)	Abū Bishr, `ṭabīb al-ʿaẓīmiyyah	al-Ḥākim, sixth Fatimid caliph (`reg.` 385– 411/996–1021)											
https://usaybia.net/person/1046	Ibn Maʿshar `al-ṭabīb	Physician at	https://usaybia.net/person/815	al-Ḥākim, sixth Fatimid caliph (`reg.` 385– 411/996–1021)	Ibn Maʿshar `al-ṭabīb	al-Ḥākim, sixth Fatimid caliph (`reg.` 385– 411/996–1021)											
https://usaybia.net/person/1262	Isḥāq ibn Ibrāhīm ibn Nasṭās	Servant of	https://usaybia.net/person/815	al-Ḥākim, sixth Fatimid caliph (`reg.` 385– 411/996–1021)	Isḥāq ibn Ibrāhīm ibn Nasṭās	al-Ḥākim, sixth Fatimid caliph (`reg.` 385– 411/996–1021)											
https://usaybia.net/person/504	ʿAmmār ibn ʿAlī al-Mawṣilī	Physician at	https://usaybia.net/person/815	al-Ḥākim, sixth Fatimid caliph (`reg.` 385– 411/996–1021)	ʿAmmār ibn ʿAlī al-Mawṣilī	al-Ḥākim, sixth Fatimid caliph (`reg.` 385– 411/996–1021)											
https://usaybia.net/person/2457	Orphan girl	Daughter of	https://usaybia.net/person/1093	Abū al-Ḥasan ʿAlī b. Riḍwān 	Orphan girl	Abū al-Ḥasan ʿAlī b. Riḍwān 											